Fecha,Hora,Fecha valor,Producto,ISIN,Descripción,Tipo,Variación,,Saldo,,ID Orden
01-03-2024,07:14,29-02-2024,LOGISTA INTEGRAL SA,ES0105027009,Dividendo,,EUR,34.00,EUR,114.34,
01-03-2024,07:14,29-02-2024,LOGISTA INTEGRAL SA,ES0105027009,Retención del dividendo,,EUR,-6.46,EUR,80.34,
15-02-2024,17:00,15-02-2024,,,"Transferir a su Cuenta de Efectivo en flatexDEGIRO Bank: 10,96 EUR",,,,EUR,86.80,
15-02-2024,17:00,15-02-2024,FLATEX EURO BANKACCOUNT,NLFLATEXACNT,Degiro Cash Sweep Transfer,,EUR,-10.96,EUR,75.84,
15-02-2024,07:25,13-02-2024,"ACCION EUROSTOXX 50 ETF, FI COTIZADO",ES0105321030,Dividendo,,EUR,5.87,EUR,86.80,
15-02-2024,07:25,13-02-2024,"ACCION EUROSTOXX 50 ETF, FI COTIZADO",ES0105321030,Retención del dividendo,,EUR,-1.11,EUR,80.93,
15-02-2024,07:25,13-02-2024,"ACCION IBEX 35 ETF, FI COTIZADO",ES0105336038,Retención del dividendo,,EUR,-1.46,EUR,82.04,
15-02-2024,07:25,13-02-2024,"ACCION IBEX 35 ETF, FI COTIZADO",ES0105336038,Dividendo,,EUR,7.66,EUR,83.50,
02-02-2024,17:00,02-02-2024,,,"Transferir a su Cuenta de Efectivo en flatexDEGIRO Bank: 8,79 EUR",,,,EUR,75.84,
02-02-2024,17:00,02-02-2024,FLATEX EURO BANKACCOUNT,NLFLATEXACNT,Degiro Cash Sweep Transfer,,EUR,-8.79,EUR,67.05,
02-02-2024,08:36,01-02-2024,SACYR SA-RTS - NON TRADEABLE,ES06828709O5,DESLISTAMIENTO : Venta 175 SACYR SA-RTS - Non tradeable@0 EUR (ES06828709O5),,EUR,0.00,EUR,75.84,
02-02-2024,08:08,01-02-2024,SACYR SA-RTS - NON TRADEABLE,ES06828709O5,Dividendo,,EUR,10.85,EUR,75.84,
02-02-2024,08:08,01-02-2024,SACYR SA-RTS - NON TRADEABLE,ES06828709O5,Retención del dividendo,,EUR,-2.06,EUR,64.99,
18-01-2024,13:36,17-01-2024,SACYR SA-RTS - NON TRADEABLE,ES06828709O5,DIVIDENDO FLEXIBLE: Compra 175 SACYR SA-RTS - Non tradeable@0 EUR (ES06828709O5),,EUR,0.00,EUR,67.05,
18-01-2024,13:35,17-01-2024,SACYR SA-RTS,ES06828709O5,DIVIDENDO FLEXIBLE: Venta 175 SACYR SA-RTS@0 EUR (ES06828709O5),,EUR,0.00,EUR,67.05,
12-01-2024,08:35,12-01-2024,SACYR SA-RTS,ES06828709O5,EMISIÓN DE DERECHOS: Compra 175 SACYR SA-RTS@0 EUR (ES06828709O5),,EUR,0.00,EUR,67.05,
04-01-2024,11:10,02-01-2024,,,Flatex Interest Income,,EUR,0.00,EUR,67.05,
03-10-2023,05:31,30-09-2023,,,Flatex Interest Income,,EUR,0.00,EUR,67.05,
29-08-2023,16:35,29-08-2023,,,"Transferir a su Cuenta de Efectivo en flatexDEGIRO Bank: 9,92 EUR",,,,EUR,67.05,
